N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000369,0.000315,0.000074,0.000065,0.000769,0.000062,0.000054,0.000077,0.000098,0.000127,0.000585,0.000089,0.000141,0.000007,0.000007,0.000007,0.000190,0.000004,0.000003,0.000394,0.000002,0.000084
1000.000000,0.001635,0.001152,0.000149,0.000133,0.002559,0.000141,0.000089,0.000154,0.000117,0.000349,0.002003,0.000197,0.000520,0.000013,0.000012,0.000013,0.000567,0.000008,0.000005,0.000951,0.000003,0.000614
1500.000000,0.003013,0.002495,0.000233,0.000211,0.005684,0.000228,0.000144,0.000302,0.000144,0.001119,0.004590,0.000350,0.001333,0.000021,0.000018,0.000019,0.001382,0.000012,0.000007,0.002424,0.000004,0.001559
2000.000000,0.005567,0.004253,0.000347,0.000298,0.010273,0.000305,0.000229,0.000181,0.000206,0.001310,0.009100,0.000564,0.002253,0.000028,0.000023,0.000024,0.002396,0.000017,0.000009,0.005132,0.000006,0.003489
2500.000000,0.008865,0.007202,0.000369,0.000427,0.016083,0.000414,0.000305,0.000375,0.000280,0.001797,0.012371,0.000573,0.003274,0.000034,0.000029,0.000031,0.003637,0.000027,0.000011,0.007367,0.000008,0.004760
3000.000000,0.013723,0.010848,0.000453,0.000485,0.025247,0.000517,0.000347,0.000419,0.000328,0.002622,0.020855,0.000701,0.005593,0.000042,0.000034,0.000037,0.005395,0.000025,0.000019,0.012244,0.000013,0.008776
3500.000000,0.018462,0.014100,0.000517,0.000597,0.030821,0.000609,0.000440,0.000321,0.000498,0.003855,0.026792,0.000947,0.007185,0.000058,0.000028,0.000044,0.007815,0.000030,0.000021,0.016252,0.000011,0.011693
4000.000000,0.022186,0.017415,0.000611,0.000634,0.039438,0.000699,0.000342,0.000403,0.000706,0.004319,0.031509,0.001045,0.008435,0.000059,0.000054,0.000050,0.009258,0.000035,0.000017,0.018534,0.000013,0.013473
4500.000000,0.029222,0.023125,0.000680,0.000796,0.049975,0.000817,0.000355,0.000429,0.000579,0.006003,0.041235,0.001181,0.011033,0.000064,0.000029,0.000054,0.011796,0.000036,0.000019,0.025835,0.000015,0.019767
5000.000000,0.037558,0.028679,0.000828,0.000953,0.063090,0.001018,0.000518,0.000582,0.000819,0.007207,0.050790,0.001347,0.013214,0.000090,0.000056,0.000062,0.014490,0.000049,0.000021,0.029852,0.000016,0.022454
5500.000000,0.041900,0.033890,0.000889,0.000916,0.071353,0.001048,0.000639,0.000631,0.000691,0.007860,0.061233,0.001470,0.015652,0.000098,0.000081,0.000071,0.017663,0.000065,0.000024,0.038487,0.000018,0.028485
6000.000000,0.050383,0.040151,0.000989,0.001000,0.083572,0.001173,0.000727,0.000616,0.000741,0.009818,0.069381,0.001693,0.021012,0.000091,0.000067,0.000082,0.021400,0.000051,0.000025,0.043067,0.000028,0.033953
6500.000000,0.059028,0.046669,0.001060,0.001088,0.099439,0.001324,0.000655,0.000740,0.000866,0.012036,0.086346,0.001854,0.022203,0.000262,0.000043,0.000091,0.025220,0.000097,0.000028,0.050605,0.000027,0.039539
7000.000000,0.069803,0.054658,0.001101,0.001173,0.114761,0.001400,0.000620,0.000677,0.000812,0.012943,0.096945,0.001918,0.025499,0.000113,0.000057,0.000097,0.026951,0.000068,0.000029,0.058355,0.000021,0.046183
7500.000000,0.079163,0.064113,0.001228,0.001563,0.131229,0.001592,0.000891,0.000825,0.000761,0.015003,0.112364,0.002084,0.028720,0.000116,0.000054,0.000096,0.031398,0.000066,0.000031,0.067833,0.000021,0.053245
8000.000000,0.086376,0.069399,0.001327,0.001328,0.145994,0.001786,0.000809,0.000769,0.001082,0.016809,0.127206,0.002319,0.033291,0.000119,0.000074,0.000105,0.036275,0.000070,0.000034,0.076475,0.000023,0.059802
8500.000000,0.100370,0.081281,0.001390,0.001363,0.163725,0.001829,0.000830,0.000792,0.001009,0.019071,0.146980,0.002463,0.037375,0.000145,0.000062,0.000129,0.041250,0.000074,0.000036,0.087114,0.000021,0.070680
9000.000000,0.112261,0.091126,0.001554,0.001977,0.189181,0.002125,0.000794,0.000834,0.001069,0.021206,0.165434,0.002574,0.041613,0.000199,0.000092,0.000160,0.046054,0.000318,0.000039,0.098387,0.000028,0.081949
9500.000000,0.123890,0.100994,0.001612,0.001507,0.207431,0.001966,0.000829,0.001315,0.001447,0.024231,0.186839,0.002839,0.048014,0.000214,0.000076,0.000134,0.052198,0.000092,0.000039,0.111174,0.000022,0.092284
9999.000000,0.139108,0.112817,0.001721,0.001633,0.226489,0.002157,0.001682,0.001677,0.000978,0.027899,0.214833,0.003455,0.051908,0.000151,0.000093,0.000167,0.056754,0.000126,0.000045,0.127950,0.000023,0.103284
